function	arguments	platform	pure_rust	ulp	classification
asinh	400921fb54442d18	3ffdcbf69f10006d	3ffdcbf69f10006d	0	ordinary
asinh	3fefffffffffffff	3fec34366179d426	3fec34366179d426	0	ordinary
asinh	3ff0000000000001	3fec34366179d428	3fec34366179d428	0	ordinary
atan	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
atan	0000000000000000	0000000000000000	0000000000000000	0	exact
atan	8000000000000000	8000000000000000	8000000000000000	0	exact
atan	7ff0000000000000	3ff921fb54442d18	3ff921fb54442d18	0	exact
atan	fff0000000000000	bff921fb54442d18	bff921fb54442d18	0	exact
atan	0000000000000001	0000000000000001	0000000000000001	0	ordinary
atan	7fefffffffffffff	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
atan	bff0000000000000	bfe921fb54442d18	bfe921fb54442d18	0	ordinary
atan	3ff0000000000000	3fe921fb54442d18	3fe921fb54442d18	0	ordinary
atan	c000000000000000	bff1b6e192ebbe45	bff1b6e192ebbe44	1	ordinary
atan	4000000000000000	3ff1b6e192ebbe45	3ff1b6e192ebbe44	1	ordinary
atan	3fe6666666666666	3fe38b112d7bd4ad	3fe38b112d7bd4ad	0	ordinary
atan	3ffb333333333333	3ff0a00a3bce369f	3ff0a00a3bce369f	0	ordinary
atan	bfe6666666666666	bfe38b112d7bd4ad	bfe38b112d7bd4ad	0	ordinary
atan	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
atan	4415af1d78b58c40	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
atan	400921fb54442d18	3ff433b8a322ddd2	3ff433b8a322ddd2	0	ordinary
atan	3fefffffffffffff	3fe921fb54442d18	3fe921fb54442d18	0	ordinary
atan	3ff0000000000001	3fe921fb54442d19	3fe921fb54442d19	0	ordinary
atanh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
atanh	0000000000000000	0000000000000000	0000000000000000	0	exact
atanh	8000000000000000	8000000000000000	8000000000000000	0	exact
atanh	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
atanh	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
atanh	0000000000000001	0000000000000001	0000000000000001	0	ordinary
atanh	7fefffffffffffff	7ff8000000000000	7ff8000000000000	0	exact
atanh	bff0000000000000	fff0000000000000	fff0000000000000	0	exact
atanh	3ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
atanh	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
atanh	4000000000000000	7ff8000000000000	7ff8000000000000	0	exact
atanh	3fe6666666666666	3febc0ed0947fbe9	3febc0ed0947fbe8	1	ordinary
atanh	3ffb333333333333	7ff8000000000000	7ff8000000000000	0	exact
atanh	bfe6666666666666	bfebc0ed0947fbe8	bfebc0ed0947fbe8	0	ordinary
atanh	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
atanh	4415af1d78b58c40	7ff8000000000000	7ff8000000000000	0	exact
atanh	400921fb54442d18	7ff8000000000000	7ff8000000000000	0	exact
atanh	3fefffffffffffff	4032b708872320e2	4032b708872320e2	0	ordinary
atanh	3ff0000000000001	7ff8000000000000	7ff8000000000000	0	exact
cbrt	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
cbrt	0000000000000000	0000000000000000	0000000000000000	0	exact
cbrt	8000000000000000	8000000000000000	8000000000000000	0	exact
cbrt	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
cbrt	fff0000000000000	fff0000000000000	fff0000000000000	0	exact
cbrt	0000000000000001	2990000000000000	2990000000000000	0	ordinary
cbrt	7fefffffffffffff	554428a2f98d728b	554428a2f98d728b	0	ordinary
cbrt	bff0000000000000	bff0000000000000	bff0000000000000	0	ordinary
cbrt	3ff0000000000000	3ff0000000000000	3ff0000000000000	0	ordinary
cbrt	c000000000000000	bff428a2f98d728b	bff428a2f98d728b	0	ordinary
cbrt	4000000000000000	3ff428a2f98d728b	3ff428a2f98d728b	0	ordinary
cbrt	3fe6666666666666	3fec69b5a72f1a9a	3fec69b5a72f1a99	1	ordinary
cbrt	3ffb333333333333	3ff31881d4da7529	3ff31881d4da7529	0	ordinary
cbrt	bfe6666666666666	bfec69b5a72f1a9a	bfec69b5a72f1a99	1	ordinary
cbrt	3bc79ca10c924223	3e8cea94cb5c6ff1	3e8cea94cb5c6ff1	0	ordinary
cbrt	4415af1d78b58c40	4151b4cd3559e96a	4151b4cd3559e96a	0	ordinary
cbrt	400921fb54442d18	3ff76ef7e73104b8	3ff76ef7e73104b7	1	ordinary
cbrt	3fefffffffffffff	3ff0000000000000	3ff0000000000000	0	ordinary
cbrt	3ff0000000000001	3ff0000000000000	3ff0000000000000	0	ordinary
cos	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
cos	0000000000000000	3ff0000000000000	3ff0000000000000	0	exact
cos	8000000000000000	3ff0000000000000	3ff0000000000000	0	exact
cos	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
cos	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
cos	0000000000000001	3ff0000000000000	3ff0000000000000	0	ordinary
cos	7fefffffffffffff	bfefffe62ecfab75	bfefffe62ecfab75	0	ordinary
cos	bff0000000000000	3fe14a280fb5068c	3fe14a280fb5068c	0	ordinary
cos	3ff0000000000000	3fe14a280fb5068c	3fe14a280fb5068c	0	ordinary
cos	c000000000000000	bfdaa22657537205	bfdaa22657537205	0	ordinary
cos	4000000000000000	bfdaa22657537205	bfdaa22657537205	0	ordinary
cos	3fe6666666666666	3fe87996529f9d93	3fe87996529f9d93	0	ordinary
cos	3ffb333333333333	bfc07df9f4a26c86	bfc07df9f4a26c86	0	ordinary
cos	bfe6666666666666	3fe87996529f9d93	3fe87996529f9d93	0	ordinary
cos	3bc79ca10c924223	3ff0000000000000	3ff0000000000000	0	ordinary
cos	4415af1d78b58c40	3fe872720fc60d3d	3fe872720fc60d3d	0	ordinary
cos	400921fb54442d18	bff0000000000000	bff0000000000000	0	ordinary
cos	3fefffffffffffff	3fe14a280fb5068c	3fe14a280fb5068c	0	ordinary
cos	3ff0000000000001	3fe14a280fb5068a	3fe14a280fb5068a	0	ordinary
cosh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
cosh	0000000000000000	3ff0000000000000	3ff0000000000000	0	exact
cosh	8000000000000000	3ff0000000000000	3ff0000000000000	0	exact
cosh	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
cosh	fff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
cosh	0000000000000001	3ff0000000000000	3ff0000000000000	0	ordinary
cosh	7fefffffffffffff	7ff0000000000000	7ff0000000000000	0	exact
cosh	bff0000000000000	3ff8b07551d9f550	3ff8b07551d9f551	1	ordinary
cosh	3ff0000000000000	3ff8b07551d9f550	3ff8b07551d9f551	1	ordinary
cosh	c000000000000000	400e18fa0df2d9bc	400e18fa0df2d9bc	0	ordinary
cosh	4000000000000000	400e18fa0df2d9bc	400e18fa0df2d9bc	0	ordinary
cosh	3fe6666666666666	3ff4152c1862342f	3ff4152c1862342f	0	ordinary
cosh	3ffb333333333333	4006a063dad344f7	4006a063dad344f6	1	ordinary
cosh	bfe6666666666666	3ff4152c1862342f	3ff4152c1862342f	0	ordinary
cosh	3bc79ca10c924223	3ff0000000000000	3ff0000000000000	0	ordinary
cosh	4415af1d78b58c40	7ff0000000000000	7ff0000000000000	0	exact
cosh	400921fb54442d18	40272f147fee4000	40272f147fee4000	0	ordinary
cosh	3fefffffffffffff	3ff8b07551d9f550	3ff8b07551d9f550	0	ordinary
cosh	3ff0000000000001	3ff8b07551d9f551	3ff8b07551d9f552	1	ordinary
exp	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
exp	0000000000000000	3ff0000000000000	3ff0000000000000	0	exact
exp	8000000000000000	3ff0000000000000	3ff0000000000000	0	exact
exp	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
exp	fff0000000000000	0000000000000000	0000000000000000	0	exact
exp	0000000000000001	3ff0000000000000	3ff0000000000000	0	ordinary
exp	7fefffffffffffff	7ff0000000000000	7ff0000000000000	0	exact
exp	bff0000000000000	3fd78b56362cef38	3fd78b56362cef38	0	ordinary
exp	3ff0000000000000	4005bf0a8b145769	4005bf0a8b14576a	1	ordinary
exp	c000000000000000	3fc152aaa3bf81cc	3fc152aaa3bf81cc	0	ordinary
exp	4000000000000000	401d8e64b8d4ddae	401d8e64b8d4ddae	0	ordinary
exp	3fe6666666666666	40001c2a61268987	40001c2a61268987	0	ordinary
exp	3ffb333333333333	4015e552770df8a7	4015e552770df8a6	1	ordinary
exp	bfe6666666666666	3fdfc80db9dd5542	3fdfc80db9dd5542	0	ordinary
exp	3bc79ca10c924223	3ff0000000000000	3ff0000000000000	0	ordinary
exp	4415af1d78b58c40	7ff0000000000000	7ff0000000000000	0	exact
exp	400921fb54442d18	403724046eb09339	403724046eb09339	0	ordinary
exp	3fefffffffffffff	4005bf0a8b145769	4005bf0a8b145769	0	ordinary
exp	3ff0000000000001	4005bf0a8b14576b	4005bf0a8b14576b	0	ordinary
